audit_id,mapping_id,club_id,sample_rank,article_url,extraction_rule_version,reviewer,is_true_club_match,review_basis,exclusion_reason,reviewed_at
7571be21-39fc-522a-9846-d264b7706ef7,BOS-current,BOS,1,https://www.1075thegame.com/2025/10/19/mammoths-dylan-guenther-provides-winning-edge-over-bruins/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
bef728a3-89d0-552c-9c2e-20b23a60e624,BOS-current,BOS,2,https://www.wcvb.com/article/hurricanes-beat-bruins-april-7-2026/70957923,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
72b58148-bc5a-5c74-ac18-a93bee076cc2,BOS-current,BOS,3,https://nesn.com/podcast/morning-bru-bruins-come-out-flat-in-loss-to-hurricanes-ep-277/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
018db0de-f6ab-513f-8bae-f99035f9180a,BOS-current,BOS,4,https://www.1075thegame.com/2026/03/10/bruins-top-kings-on-charlie-mcavoys-ot-winner-to-extend-home-streak/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
b0e54b95-fefd-5a0d-b340-172e5157fb63,BOS-current,BOS,5,https://www.durangoherald.com/articles/nichushkin-scores-only-goal-in-shootout-avalanche-beat-bruins-4-3/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
03220418-ab94-5fc3-970d-0b912eb54507,BOS-current,BOS,6,https://www.wcvb.com/article/bruins-beat-lightning-jan-14-2025/63426893,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
02a81867-19ae-5d2a-8c1f-a1c0642ab057,BOS-current,BOS,7,https://www.tsn.ca/nick-schmaltz-scores-with-less-than-a-minute-left-in-ot-lifts-coyotes-past-bruins-1.2060408,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
e9a4cfb7-007b-5e6b-a175-28a005164386,BOS-current,BOS,8,https://www.tsn.ca/nhl/colorado-avalanche-acquire-charlie-coyle-from-boston-bruins-for-casey-mittelstadt-1.2266800,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
7c48c156-c34e-5009-a60d-f833e74f1e36,BOS-current,BOS,9,https://www.covers.com/nhl/bruins-vs-oilers-prediction-picks-best-bets-sgp-wednesday-12-31-2025,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
f55c7ed5-e86c-5b72-985b-b3337c01d0cf,BOS-current,BOS,10,https://www.sunjournal.com/2026/03/10/charlie-mcavoys-ot-goal-gives-bruins-13th-straight-home-win/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
f3ecc718-1c5a-52ec-8d51-da1f1444f23b,CHI-current,CHI,1,https://blackhawkup.com/posts/three-things-mess-chicago-blackhawks-chances-land-top-overall-pick-again,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
42cb306b-1883-50fc-a75b-66a0dde92c76,CHI-current,CHI,2,https://theathletic.com/5264823/2024/02/10/7-reasons-watch-chicago-blackhawks/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
50c28bee-9ba8-52f3-a52b-915e51eb8574,CHI-current,CHI,3,https://blackhawkup.com/posts/former-blackhawks-goaltender-work-way-no-1-role-season-01j7xx3pgdjq,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
c35b8b56-6e15-5731-abed-7594b5236975,CHI-current,CHI,4,https://foxsports940.iheart.com/content/2025-01-31-panthers-vs-blackhawks-prediction-picks-february-1/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
d89817c5-69c9-54a1-a64d-b20ebf782c07,CHI-current,CHI,5,https://www.nashvilleherald.com/news/274042706/blue-jackets-pile-on-early-rout-blackhawks-at-home,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
ce517c99-e552-5bd9-a5e4-a9277552b110,CHI-current,CHI,6,https://www.tsn.ca/nhl/article/canucks-acquire-forward-reichel-from-blackhawks-for-4th-round-pick/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
2047a705-0b0e-57ce-ae58-b5df0741e105,CHI-current,CHI,7,https://blackhawkup.com/blackhawks-are-not-as-far-away-from-contention-as-people-think,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
35f05572-9e98-5b1d-8a42-74798b84d61e,CHI-current,CHI,8,https://www.wjoxam.com/2026/04/02/oilers-run-win-streak-to-5-with-defeat-of-blackhawks/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
5d94abd3-5895-5a15-932a-ee60682c44f6,CHI-current,CHI,9,https://mykfan.iheart.com/content/2024-11-09-wild-vs-blackhawks-prediction-picks-november-10/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
ae16eeaa-1ad3-54b6-9568-a70cfb62b731,CHI-current,CHI,10,https://www.massachusettssun.com/news/273998785/connor-bedard-blackhawks-take-show-north-to-meet-canadiens,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
4df754be-cc49-52e7-af8a-900590a8c1d5,NSH-current,NSH,1,https://www.cweb.com/nhl-news-predators-break-open-game-in-third-topple-blues/,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
cf6e5dcc-a9a3-57eb-8d2c-a70fd8a275e3,NSH-current,NSH,2,http://www.nashvilleherald.com/news/278651152/injury-marred-canucks-square-off-against-slumping-predators,gkg-exact-name-url-subject-v1.0.0,Codex manual URL-subject review,true,URL subject identifies the registered NHL club and the GKG AllNames extraction independently contains the exact full club name,,2026-08-03
